Date,,Rachel / Papineau,Berri1,Maisonneuve_1,Maisonneuve_2,Brébeuf,Parc,CSC (Côte Sainte-Catherine),PierDup
01/01/2010,00:00,,36,17,37,0,,,
02/01/2010,00:00,,28,24,47,0,,,
03/01/2010,00:00,,39,22,56,0,,,
04/01/2010,00:00,,117,71,237,0,,,
05/01/2010,00:00,,225,88,309,0,,,
06/01/2010,00:00,,203,102,339,0,,,
07/01/2010,00:00,,192,111,307,0,,,
08/01/2010,00:00,,261,125,333,0,,,
09/01/2010,00:00,,88,49,118,0,,,
10/01/2010,00:00,,97,49,93,0,,,
11/01/2010,00:00,,231,125,394,0,,,
12/01/2010,00:00,,277,151,428,0,,,
13/01/2010,00:00,,256,113,403,0,,,
14/01/2010,00:00,,271,161,413,0,,,
15/01/2010,00:00,,301,174,456,0,,,
16/01/2010,00:00,,156,68,191,0,,,
17/01/2010,00:00,,133,62,171,0,,,
18/01/2010,00:00,,277,152,463,0,,,
19/01/2010,00:00,,350,173,483,0,,,
20/01/2010,00:00,,272,177,479,0,,,
21/01/2010,00:00,,318,197,518,0,,,
22/01/2010,00:00,,323,202,493,0,,,
23/01/2010,00:00,,165,90,208,0,,,
24/01/2010,00:00,,146,75,199,0,,,
25/01/2010,00:00,,183,97,362,0,,,
26/01/2010,00:00,,303,186,517,0,,,
27/01/2010,00:00,,376,198,533,0,,,
28/01/2010,00:00,,221,154,361,0,,,
29/01/2010,00:00,,159,92,260,0,,,
30/01/2010,00:00,,56,37,70,0,,,
31/01/2010,00:00,,82,53,77,0,,,
01/02/2010,00:00,,233,111,348,0,,,
02/02/2010,00:00,,270,136,366,0,,,
03/02/2010,00:00,,270,159,444,0,,,
04/02/2010,00:00,,260,163,389,0,,,
05/02/2010,00:00,,246,181,397,0,,,
06/02/2010,00:00,,111,70,149,0,,,
07/02/2010,00:00,,122,65,143,0,,,
08/02/2010,00:00,,222,147,382,0,,,
09/02/2010,00:00,,326,199,442,0,,,
10/02/2010,00:00,,339,199,520,0,,,
11/02/2010,00:00,,355,233,524,0,,,
12/02/2010,00:00,,314,218,455,0,,,
13/02/2010,00:00,,153,90,191,0,,,
14/02/2010,00:00,,131,66,165,0,,,
15/02/2010,00:00,,291,169,513,0,,,
16/02/2010,00:00,,416,220,558,0,,,
17/02/2010,00:00,,415,225,545,0,,,
18/02/2010,00:00,,345,239,581,0,,,
19/02/2010,00:00,,237,170,314,0,,,
20/02/2010,00:00,,124,74,111,0,,,
21/02/2010,00:00,,163,75,108,0,,,
22/02/2010,00:00,,329,195,412,0,,,
23/02/2010,00:00,,251,151,351,0,,,
24/02/2010,00:00,,191,123,293,0,,,
25/02/2010,00:00,,186,149,284,0,,,
26/02/2010,00:00,,214,127,343,0,,,
27/02/2010,00:00,,194,99,170,0,,,
28/02/2010,00:00,,146,80,157,0,,,
01/03/2010,00:00,,398,255,647,0,,,
02/03/2010,00:00,,574,347,945,0,,,
03/03/2010,00:00,,619,393,983,0,,,
04/03/2010,00:00,,624,431,1009,0,,,
05/03/2010,00:00,,629,407,995,0,,,
06/03/2010,00:00,,687,356,820,0,,,
07/03/2010,00:00,,571,322,648,0,,,
08/03/2010,00:00,,921,591,1402,0,,,
09/03/2010,00:00,,1050,650,1464,0,,,
10/03/2010,00:00,,1218,759,1659,0,,,
11/03/2010,00:00,,1208,789,1747,0,,,
12/03/2010,00:00,,1053,671,1585,0,,,
13/03/2010,00:00,,859,454,977,0,,,
14/03/2010,00:00,,156,96,249,0,,,
15/03/2010,00:00,,1146,742,1625,0,,,
16/03/2010,00:00,,1836,1115,2074,0,,,
17/03/2010,00:00,,1735,1129,2407,0,,,
18/03/2010,00:00,,1658,1070,2178,0,,,
19/03/2010,00:00,,1749,1188,2338,0,,,
20/03/2010,00:00,,747,460,998,0,,,
21/03/2010,00:00,,495,225,567,0,,,
22/03/2010,00:00,,1032,684,1492,0,,,
23/03/2010,00:00,,370,199,521,0,,,
24/03/2010,00:00,,1004,680,1420,0,,,
25/03/2010,00:00,,1535,955,2004,0,,,
26/03/2010,00:00,,846,593,1198,0,,,
27/03/2010,00:00,,538,358,713,0,,,
28/03/2010,00:00,,512,290,730,0,,,
29/03/2010,00:00,,470,319,714,0,,,
30/03/2010,00:00,,1022,729,1422,0,,,
31/03/2010,00:00,,1238,821,1845,6,,,
01/04/2010,00:00,,2049,1322,2767,1407,,,
02/04/2010,00:00,,2816,1217,2387,3027,,,
03/04/2010,00:00,,3072,1185,2282,3494,,,
04/04/2010,00:00,,1681,744,1676,2116,,,
05/04/2010,00:00,,1175,733,1594,1438,,,
06/04/2010,00:00,,2558,1557,3105,2429,,,
07/04/2010,00:00,,1448,941,2049,1311,,,
08/04/2010,00:00,,1617,1046,2229,1461,,,
09/04/2010,00:00,,1305,853,1858,1171,,,
10/04/2010,00:00,,1219,724,1389,1458,,,
11/04/2010,00:00,,1318,722,1437,1682,,,
12/04/2010,00:00,,2687,1606,3223,2846,,,
13/04/2010,00:00,,3407,1897,3656,3531,,,
14/04/2010,00:00,,3235,1991,3563,3631,,,
15/04/2010,00:00,,2950,1769,3479,3200,,,
16/04/2010,00:00,,723,562,1147,357,,,
17/04/2010,00:00,,723,504,896,518,,,
18/04/2010,00:00,,573,355,724,139,,,
19/04/2010,00:00,,3115,1727,3306,1038,,,
20/04/2010,00:00,,3671,2219,4099,2536,,,
21/04/2010,00:00,,3963,2429,4316,1063,,,
22/04/2010,00:00,,3158,2162,3877,664,,,
23/04/2010,00:00,,3597,2374,4370,381,,,
24/04/2010,00:00,,3490,1742,3028,1168,,,
25/04/2010,00:00,,3092,1356,2651,326,,,
26/04/2010,00:00,,3921,2339,4520,415,,,
27/04/2010,00:00,,527,336,752,10,,,
28/04/2010,00:00,,1400,1033,2149,78,,,
29/04/2010,00:00,,3355,2283,4221,200,,,
30/04/2010,00:00,,4143,2606,4798,2125,,,
01/05/2010,00:00,,2433,1378,2391,258,,,
02/05/2010,00:00,,2677,1423,2647,291,,,
03/05/2010,00:00,,2794,1839,3480,44,,,
04/05/2010,00:00,,3750,2494,4524,128,,,
05/05/2010,00:00,,5333,3242,5595,140,,,
06/05/2010,00:00,,3354,2265,4349,1361,,,
07/05/2010,00:00,,4276,2783,4920,146,,,
08/05/2010,00:00,,702,488,962,0,,,
09/05/2010,00:00,,545,277,637,0,,,
10/05/2010,00:00,,3110,2149,4012,19,,,
