Date,,Rachel / Papineau,Berri1,Maisonneuve_1,Maisonneuve_2,Brébeuf,Parc,PierDup,CSC (Côte Sainte-Catherine),Pont_Jacques_Cartier,Totem_Laurier,Notre-Dame,Rachel / Hôtel de Ville,Saint-Antoine,René-Lévesque,Viger,Boyer,Maisonneuve_3,University,Saint-Urbain
01/01/2014,00:00,21,9,22,28,0,14,3,0,,77,6,8,0,9,1,1,3,6,
02/01/2014,00:00,43,9,18,41,0,14,0,0,,115,2,18,0,14,4,4,9,22,
03/01/2014,00:00,73,28,34,64,0,32,0,0,,179,5,27,0,16,13,6,18,32,
04/01/2014,00:00,71,27,21,59,0,22,2,0,,128,2,34,0,12,6,9,9,25,
05/01/2014,00:00,117,55,25,73,0,21,10,0,,22,3,53,0,19,6,1,19,25,
06/01/2014,00:00,128,53,49,142,0,53,2,2,,16,2,72,0,22,7,0,37,75,
07/01/2014,00:00,191,139,76,202,0,71,4,0,,19,11,90,0,18,13,4,26,108,
08/01/2014,00:00,237,115,98,232,0,109,1,3,,22,13,106,0,31,34,2,35,129,
09/01/2014,00:00,309,129,120,296,0,93,0,0,,24,9,166,0,40,24,1,37,176,
10/01/2014,00:00,344,132,137,309,0,103,2,2,,43,9,185,0,69,36,2,53,184,
11/01/2014,00:00,120,29,29,85,0,20,0,3,,37,5,88,0,9,6,1,11,34,
12/01/2014,00:00,199,101,46,122,0,47,5,0,,57,1,108,0,47,23,4,21,44,
13/01/2014,00:00,501,328,242,564,0,183,7,5,,142,17,278,0,125,55,16,121,344,
14/01/2014,00:00,527,418,268,569,0,237,6,91,,129,21,271,0,118,46,32,125,388,
15/01/2014,00:00,535,468,282,622,0,245,3,170,,132,20,260,0,137,61,26,118,436,
16/01/2014,00:00,632,509,322,687,0,289,6,208,,151,45,328,0,159,56,93,122,477,
17/01/2014,00:00,505,433,286,589,0,239,6,177,,102,40,270,0,167,37,50,110,343,
18/01/2014,00:00,352,251,146,274,0,115,26,69,,82,11,219,0,74,13,295,49,121,
19/01/2014,00:00,178,106,70,121,0,56,4,39,,51,3,111,0,22,12,0,20,52,
20/01/2014,00:00,383,308,164,359,0,161,7,117,,34,15,164,0,86,36,0,59,239,
21/01/2014,00:00,319,304,170,309,0,138,6,88,,29,33,156,0,88,41,0,83,252,
22/01/2014,00:00,311,291,162,335,0,148,2,91,,77,25,117,0,81,32,0,43,221,
23/01/2014,00:00,324,290,159,312,0,149,5,87,,67,26,96,0,93,31,0,51,225,
24/01/2014,00:00,285,247,160,264,0,130,4,86,,79,28,105,0,116,23,0,55,176,
25/01/2014,00:00,145,90,37,110,0,34,4,24,,16,4,63,0,41,4,0,17,57,
26/01/2014,00:00,106,73,24,61,0,34,0,7,,4,5,36,0,18,7,0,13,45,
27/01/2014,00:00,223,168,89,184,0,76,5,12,,37,10,73,0,46,11,0,47,89,
28/01/2014,00:00,314,193,143,294,0,106,7,27,,42,23,115,0,47,18,0,48,147,
29/01/2014,00:00,344,241,148,343,0,115,6,80,,65,34,108,0,69,31,0,63,204,
30/01/2014,00:00,389,326,206,387,0,143,7,103,,87,25,152,0,90,46,0,69,211,
31/01/2014,00:00,387,346,224,383,0,173,13,157,,117,23,233,0,110,48,0,72,250,
01/02/2014,00:00,232,135,75,151,0,77,28,33,,64,6,127,0,46,18,0,20,76,
02/02/2014,00:00,113,68,32,89,0,1,4,9,,35,8,61,0,18,4,0,25,38,
03/02/2014,00:00,349,107,198,423,0,73,2,146,,88,29,184,0,82,18,0,95,226,
04/02/2014,00:00,423,351,190,406,0,83,22,134,,100,29,186,0,108,62,0,67,266,
05/02/2014,00:00,333,249,145,353,0,69,4,84,,59,24,136,0,77,31,0,60,219,
06/02/2014,00:00,348,233,137,353,0,97,0,55,,8,14,125,0,61,11,0,74,202,
07/02/2014,00:00,338,225,124,307,0,65,8,92,,37,28,146,0,84,30,0,71,167,
08/02/2014,00:00,206,101,51,103,0,43,5,37,,28,2,81,0,23,10,0,14,41,
09/02/2014,00:00,188,80,35,91,0,32,5,35,,41,0,77,0,25,8,0,17,54,
10/02/2014,00:00,410,270,141,377,0,150,7,139,,60,24,155,0,99,41,0,71,195,
11/02/2014,00:00,388,305,171,405,0,151,0,137,,92,22,146,0,106,51,0,87,217,
12/02/2014,00:00,355,329,197,403,0,156,2,137,,96,20,159,0,97,46,0,80,231,
13/02/2014,00:00,419,355,199,416,0,168,2,130,,101,29,148,0,125,59,0,82,224,
14/02/2014,00:00,82,161,64,152,0,61,0,3,,27,11,64,0,47,10,0,40,25,
15/02/2014,00:00,198,114,53,127,0,27,2,4,,34,1,88,0,25,4,0,22,40,
16/02/2014,00:00,820,109,84,125,0,47,0,43,,35,6,130,0,30,8,0,18,44,
17/02/2014,00:00,365,269,192,323,0,129,2,112,,70,29,149,0,91,30,0,89,164,
18/02/2014,00:00,337,284,133,333,0,118,8,104,,44,22,154,0,81,24,0,83,166,
19/02/2014,00:00,430,361,209,405,0,128,4,153,,137,15,231,0,104,40,0,77,220,
20/02/2014,00:00,499,431,257,498,0,183,6,186,,182,43,255,0,148,48,0,89,275,
21/02/2014,00:00,347,251,163,268,0,95,6,104,,124,7,155,0,102,32,0,64,150,
22/02/2014,00:00,370,260,144,276,0,78,20,87,,130,4,224,0,67,23,0,42,122,
23/02/2014,00:00,312,184,114,228,0,77,17,84,,138,1,212,0,61,17,0,48,109,
24/02/2014,00:00,475,289,204,523,0,164,1,177,,206,20,199,0,114,49,0,83,351,
25/02/2014,00:00,433,330,226,519,0,188,9,198,,188,25,190,0,123,60,0,92,323,
26/02/2014,00:00,386,254,169,381,0,137,1,88,,65,7,150,0,79,38,0,88,201,
27/02/2014,00:00,360,300,206,398,0,155,0,133,,127,12,137,0,103,42,0,90,238,
28/02/2014,00:00,370,263,162,304,0,154,3,111,,137,5,134,0,102,48,0,67,188,
01/03/2014,00:00,238,141,94,155,0,60,10,39,,79,3,111,0,27,9,0,25,67,
02/03/2014,00:00,172,114,50,125,0,54,7,23,,50,3,71,0,9,11,0,22,46,
03/03/2014,00:00,357,264,167,381,0,141,1,98,,161,21,139,0,90,30,0,76,242,
04/03/2014,00:00,347,280,169,388,0,123,0,87,,98,27,119,0,92,25,0,67,224,
05/03/2014,00:00,350,316,170,328,0,120,0,84,,87,20,126,0,102,28,0,91,164,
06/03/2014,00:00,400,345,197,387,0,154,0,102,,174,27,154,0,99,32,0,78,223,
07/03/2014,00:00,463,382,245,492,0,182,21,139,,213,35,216,0,132,34,0,114,255,
08/03/2014,00:00,390,234,167,282,0,116,21,95,,180,10,251,0,57,12,0,34,108,
