Date,,Berri1,Boyer,Brébeuf,CSC (Côte Sainte-Catherine),Maisonneuve_2,Maisonneuve_3,Notre-Dame,Parc,PierDup,Pont_Jacques_Cartier,Rachel / Hôtel de Ville,Rachel / Papineau,René-Lévesque,Saint-Antoine,Saint-Urbain,Totem_Laurier,University,Viger
01/01/2016,00:00,32,0,27,0,51,16,1,5,1,13,,93,12,6,38,68,14,11
02/01/2016,00:00,68,0,6,0,93,25,2,16,6,9,,141,16,11,67,106,30,14
03/01/2016,00:00,78,3,4,0,118,38,0,6,1,6,,116,25,10,21,59,25,5
04/01/2016,00:00,118,6,60,2,165,80,0,46,0,3,,202,49,9,4,99,111,29
05/01/2016,00:00,183,2,25,2,239,86,2,110,5,3,,241,77,12,11,106,158,44
06/01/2016,00:00,305,3,14,45,378,116,11,126,3,3,,302,120,53,29,189,224,62
07/01/2016,00:00,425,0,10,70,486,142,13,164,5,3,,424,155,60,34,54,313,73
08/01/2016,00:00,393,1,14,77,439,138,10,131,3,18,,432,157,61,75,91,310,66
09/01/2016,00:00,139,7,4,34,197,73,0,42,8,3,,276,38,22,78,114,100,19
10/01/2016,00:00,136,30,11,59,151,46,12,55,10,6,,252,42,13,80,196,73,9
11/01/2016,00:00,393,31,28,93,508,168,12,222,6,17,,439,133,56,193,312,340,60
12/01/2016,00:00,398,12,21,129,451,152,18,206,8,20,,422,139,46,125,253,286,73
13/01/2016,00:00,324,0,15,72,384,126,1,227,6,9,,371,112,31,6,118,234,46
14/01/2016,00:00,347,1,2,76,437,134,16,142,8,9,,390,106,29,1,124,274,45
15/01/2016,00:00,367,0,1,70,372,120,18,115,1,20,,358,123,41,3,66,221,56
16/01/2016,00:00,113,0,5,20,145,42,6,29,7,14,,227,32,12,2,88,70,11
17/01/2016,00:00,111,0,8,13,118,31,3,28,4,8,,189,35,6,4,63,65,10
18/01/2016,00:00,340,0,2,72,339,111,11,99,1,12,,350,105,22,1,235,151,38
19/01/2016,00:00,271,0,4,28,309,121,19,112,2,8,,268,83,10,0,138,153,42
20/01/2016,00:00,376,0,12,83,432,139,31,139,0,7,,415,110,63,119,222,232,76
21/01/2016,00:00,450,4,11,75,456,155,42,163,0,14,,388,133,66,112,293,281,46
22/01/2016,00:00,400,5,55,78,415,155,26,185,0,23,,465,147,75,117,299,230,49
23/01/2016,00:00,146,3,12,25,162,48,11,55,0,11,,237,40,13,62,160,70,15
24/01/2016,00:00,116,4,18,27,145,41,6,57,0,3,,213,43,7,67,155,58,18
25/01/2016,00:00,441,2,6,164,528,168,35,287,4,11,,510,157,61,183,394,354,48
26/01/2016,00:00,417,15,7,109,543,174,42,257,4,15,,421,153,44,166,303,311,64
27/01/2016,00:00,460,25,19,143,563,185,41,272,4,27,,294,192,76,221,393,341,81
28/01/2016,00:00,419,22,15,132,582,181,35,263,9,27,,386,170,80,269,388,396,53
29/01/2016,00:00,421,16,27,140,523,158,35,264,11,25,,435,153,62,195,368,312,58
