"Station Name","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A"
"Province","QUEBEC"
"Latitude","45.47"
"Longitude","-73.75"
"Elevation","36.00"
"Climate Identifier","7025250"
"WMO Identifier","71627"
"TC Identifier","YUL"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2012-01-01","2012","01","01","","5.8","","-1.8","","2.0","","16.0","","0.0","","1.4","","0.0","","1.4","","3","","","","",""
"2012-01-02","2012","01","02","","4.6","","-9.7","","-2.6","","20.6","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","",""
"2012-01-03","2012","01","03","","-9.7","","-17.9","","-13.8","","31.8","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","",""
"2012-01-04","2012","01","04","","-7.3","","-18.8","","-13.1","","31.1","","0.0","","0.0","","1.4","","1.0","","0","T","","","",""
"2012-01-05","2012","01","05","","-4.1","","-10.2","","-7.2","","25.2","","0.0","","0.0","","0.4","","0.4","","1","","","","",""
"2012-01-06","2012","01","06","","-8.4","","-12.7","","-10.6","","28.6","","0.0","","0.0","","1.6","","1.6","","2","","","","",""
"2012-01-07","2012","01","07","","0.8","","-8.5","","-3.9","","21.9","","0.0","","0.4","","1.2","","1.6","","2","","","","",""
"2012-01-08","2012","01","08","","-0.6","","-9.9","","-5.3","","23.3","","0.0","","0.0","","0.0","T","0.0","T","2","","","","",""
"2012-01-09","2012","01","09","","2.6","","-9.9","","-3.7","","21.7","","0.0","","0.0","","0.6","","0.4","","2","","","","",""
"2012-01-10","2012","01","10","","2.7","","-10.7","","-4.0","","22.0","","0.0","","0.0","T","0.8","","1.0","","2","","","","",""
"2012-01-11","2012","01","11","","-9.7","","-14.8","","-12.3","","30.3","","0.0","","0.0","","0.0","","0.0","","1","","","","",""
