"Station Name","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A"
"Province","QUEBEC"
"Latitude","45.47"
"Longitude","-73.75"
"Elevation","36.00"
"Climate Identifier","7025250"
"WMO Identifier","71627"
"TC Identifier","YUL"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2013-01-01","2013","01","01","","-2.0","","-16.6","","-9.3","","27.3","","0.0","","0.0","","0.0","T","0.0","T","31","","","","",""
"2013-01-02","2013","01","02","","-14.0","","-23.2","","-18.6","","36.6","","0.0","","0.0","","0.8","","0.6","","31","","","","",""
"2013-01-03","2013","01","03","","-13.1","","-23.1","","-18.1","","36.1","","0.0","","0.0","","1.8","","1.6","","31","","","","",""
"2013-01-04","2013","01","04","","0.4","","-15.3","","-7.5","","25.5","","0.0","","0.0","","1.0","","1.0","","31","","","","",""
"2013-01-05","2013","01","05","","0.6","","-13.4","","-6.4","","24.4","","0.0","","0.0","","0.0","T","0.0","T","30","","","","",""
"2013-01-06","2013","01","06","","-7.0","","-10.7","","-8.9","","26.9","","0.0","","0.0","","7.4","","7.4","","30","","","","",""
"2013-01-07","2013","01","07","","-6.1","","-13.8","","-10.0","","28.0","","0.0","","0.0","","0.2","","0.2","","31","","","","",""
"2013-01-08","2013","01","08","","1.8","","-10.8","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","31","","","","",""
"2013-01-09","2013","01","09","","5.6","","-6.4","","-0.4","","18.4","","0.0","","0.2","","0.2","","0.6","","30","","","","",""
"2013-01-10","2013","01","10","","3.0","","-2.8","","0.1","","17.9","","0.0","","0.0","","0.0","","0.0","","28","","","","",""
"2013-01-11","2013","01","11","","3.0","","-2.9","","0.1","","17.9","","0.0","","0.2","","0.0","T","0.4","","24","","","","",""
"2013-01-12","2013","01","12","","5.3","","1.6","","3.5","","14.5","","0.0","","0.2","","0.0","","0.2","","22","","","","",""
"2013-01-13","2013","01","13","","5.5","","1.9","","3.7","","14.3","","0.0","","4.0","","0.0","","4.0","","20","","","","",""
"2013-01-14","2013","01","14","","6.2","","-0.4","","2.9","","15.1","","0.0","","1.2","","0.0","","1.2","","7","","","","",""
