"Station Name","MONTREAL INTL A"
"Province","QUEBEC"
"Current Station Operator","NAV Canada"
"Latitude","45.47"
"Longitude","-73.74"
"Elevation","36.00"
"Climate Identifier","7025251"
"WMO Identifier","71627"
"TC Identifier","YUL"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2018-01-01","2018","01","01","","-19.0","","-25.5","","-22.3","","40.3","","0.0","","0.0","","0.0","","0.0","","10","","25","","37",""
"2018-01-02","2018","01","02","","-14.2","","-25.9","","-20.1","","38.1","","0.0","","0.0","","4.6","","3.4","","10","","","","<31",""
"2018-01-03","2018","01","03","","-10.8","","-16.7","","-13.8","","31.8","","0.0","","0.0","","0.6","","0.6","","13","","","","<31",""
"2018-01-04","2018","01","04","","-6.6","","-14.1","","-10.4","","28.4","","0.0","","0.0","","2.2","","2.2","","13","","29","","52",""
"2018-01-05","2018","01","05","","-13.8","","-22.6","","-18.2","","36.2","","0.0","","0.2","","5.8","","6.0","","13","","28","","70",""
"2018-01-06","2018","01","06","","-20.2","","-24.7","","-22.5","","40.5","","0.0","","0.0","","0.6","","0.6","","11","","25","","65",""
"2018-01-07","2018","01","07","","-11.2","","-24.9","","-18.1","","36.1","","0.0","","0.0","","4.6","","4.6","","10","","15","","32",""
"2018-01-08","2018","01","08","","-4.1","","-11.3","","-7.7","","25.7","","0.0","","0.0","","12.2","","11.8","","13","","","","<31",""
"2018-01-09","2018","01","09","","0.2","","-12.8","","-6.3","","24.3","","0.0","","0.0","","0.2","","0.2","","21","","25","","50",""
"2018-01-10","2018","01","10","","-1.2","","-15.8","","-8.5","","26.5","","0.0","","2.2","","0.0","T","2.2","","21","","","","<31",""
"2018-01-11","2018","01","11","","7.0","","-2.4","","2.3","","15.7","","0.0","","5.8","","0.0","","5.8","","18","","15","","41",""
"2018-01-12","2018","01","12","","10.0","","-7.8","","1.1","","16.9","","0.0","","17.0","","5.6","","22.6","","5","","0","","41",""
"2018-01-13","2018","01","13","","-7.9","","-21.5","","-14.7","","32.7","","0.0","","0.0","","30.4","","30.4","","15","","28","","89",""
"2018-01-14","2018","01","14","","-18.5","","-27.0","","-22.8","","40.8","","0.0","","0.0","","0.0","","0.0","","22","","","","<31",""
"2018-01-15","2018","01","15","","-15.4","","-24.7","","-20.1","","38.1","","0.0","","0.0","","0.0","","0.0","","21","","1","","33",""
"2018-01-16","2018","01","16","","-9.7","","-15.4","","-12.6","","30.6","","0.0","","0.0","","2.6","","1.8","","21","","3","","30",""
"2018-01-17","2018","01","17","","-5.8","","-12.7","","-9.3","","27.3","","0.0","","0.0","","0.0","T","0.0","T","22","","24","","50",""
"2018-01-18","2018","01","18","","-2.8","","-6.4","","-4.6","","22.6","","0.0","","0.0","","0.4","","0.0","T","18","","23","","43",""
"2018-01-19","2018","01","19","","0.4","","-4.7","","-2.2","","20.2","","0.0","","0.0","","0.0","T","0.0","T","16","","22","","35",""
"2018-01-20","2018","01","20","","3.8","","-0.9","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","14","","25","","74",""
"2018-01-21","2018","01","21","","0.6","","-6.8","","-3.1","","21.1","","0.0","","0.0","","0.2","","0.2","","8","","4","","35",""
"2018-01-22","2018","01","22","","-3.4","","-8.1","","-5.8","","23.8","","0.0","","7.2","","10.2","","17.4","","7","","4","","57",""
"2018-01-23","2018","01","23","","2.5","","-4.3","","-0.9","","18.9","","0.0","","9.0","","0.4","","9.4","","11","","23","","52",""
"2018-01-24","2018","01","24","","2.0","","-14.0","","-6.0","","24.0","","0.0","","0.0","","0.0","T","0.0","T","10","","27","","61",""
"2018-01-25","2018","01","25","","-10.2","","-17.0","","-13.6","","31.6","","0.0","","0.0","","0.0","","0.0","","10","","27","","44",""
"2018-01-26","2018","01","26","","-7.1","","-18.7","","-12.9","","30.9","","0.0","","0.0","","0.0","","0.0","","10","","","","<31",""
"2018-01-27","2018","01","27","","6.5","","-13.8","","-3.7","","21.7","","0.0","","2.2","","0.0","","2.2","","10","","23","","50",""
"2018-01-28","2018","01","28","","4.8","","-5.9","","-0.6","","18.6","","0.0","","0.0","","0.0","","0.0","","9","","23","","48",""
"2018-01-29","2018","01","29","","-5.9","","-12.2","","-9.1","","27.1","","0.0","","0.0","","0.0","","0.0","","9","","2","","39",""
"2018-01-30","2018","01","30","","-7.5","","-14.8","","-11.2","","29.2","","0.0","","0.0","","0.0","","0.0","","9","","3","","44",""
"2018-01-31","2018","01","31","","-6.5","","-18.2","","-12.4","","30.4","","0.0","","0.0","","5.8","","4.8","","9","","","","<31",""
