"Station Name","MONTREAL INTL A"
"Province","QUEBEC"
"Current Station Operator","NAV Canada"
"Latitude","45.47"
"Longitude","-73.74"
"Elevation","36.00"
"Climate Identifier","7025251"
"WMO Identifier","71627"
"TC Identifier","YUL"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-07-01 00:00","2018","07","01","00:00","23.8","","21.5","","87","","14","","9","","24.1","","100.84","","33","","","","NA"
"2018-07-01 01:00","2018","07","01","01:00","23.4","","21.9","","91","","29","","4","","24.1","","100.86","","33","","","","Mostly Cloudy"
"2018-07-01 02:00","2018","07","01","02:00","23.1","","21.9","","93","","36","","2","","24.1","","100.92","","32","","","","NA"
"2018-07-01 03:00","2018","07","01","03:00","23.5","","22.8","","96","","21","","7","","16.1","","100.91","","34","","","","NA"
"2018-07-01 04:00","2018","07","01","04:00","23.3","","22.6","","96","","20","","7","","6.4","","100.95","","33","","","","Fog"
"2018-07-01 05:00","2018","07","01","05:00","22.8","","22.4","","97","","27","","4","","6.4","","101.00","","32","","","","Fog"
"2018-07-01 06:00","2018","07","01","06:00","24.8","","23.8","","94","","24","","13","","19.3","","101.04","","36","","","","NA"
"2018-07-01 07:00","2018","07","01","07:00","26.5","","24.4","","88","","21","","6","","19.3","","101.06","","38","","","","Mostly Cloudy"
"2018-07-01 08:00","2018","07","01","08:00","27.5","","24.5","","84","","17","","4","","19.3","","101.12","","39","","","","NA"
"2018-07-01 09:00","2018","07","01","09:00","28.3","","24.7","","80","","21","","9","","19.3","","101.11","","40","","","","NA"
"2018-07-01 10:00","2018","07","01","10:00","29.4","","24.3","","74","","20","","7","","24.1","","101.10","","41","","","","Mainly Clear"
"2018-07-01 11:00","2018","07","01","11:00","31.0","","25.0","","70","","20","","12","","24.1","","101.14","","43","","","","NA"
"2018-07-01 12:00","2018","07","01","12:00","31.6","","24.4","","65","","21","","9","","24.1","","101.08","","43","","","","NA"
"2018-07-01 13:00","2018","07","01","13:00","32.3","","23.7","","60","","20","","14","","24.1","","101.02","","43","","","","Mostly Cloudy"
"2018-07-01 14:00","2018","07","01","14:00","32.7","","23.6","","58","","17","","8","","24.1","","100.98","","44","","","","NA"
"2018-07-01 15:00","2018","07","01","15:00","33.4","","22.0","","51","","24","","8","","24.1","","100.96","","43","","","","NA"
"2018-07-01 16:00","2018","07","01","16:00","33.4","","24.6","","59","","19","","7","","24.1","","100.92","","45","","","","Mainly Clear"
"2018-07-01 17:00","2018","07","01","17:00","33.1","","24.1","","59","","15","","14","","24.1","","100.89","","44","","","","NA"
"2018-07-01 18:00","2018","07","01","18:00","32.4","","25.1","","65","","15","","18","","24.1","","100.87","","45","","","","NA"
"2018-07-01 19:00","2018","07","01","19:00","31.4","","24.7","","67","","14","","14","","24.1","","100.86","","43","","","","Mainly Clear"
"2018-07-01 20:00","2018","07","01","20:00","30.7","","24.3","","68","","15","","12","","24.1","","100.86","","42","","","","NA"
